"created"	"state"	"total"	"total_char"	"active_rate"	"processid"	"app_name"	"category"	"title"	"file_name"
"2019/08/31 08:48"	"BROWSING"	"63"	"0"	"0.7"	"15676"	"microsoft edge"	"browser"	"Google 翻訳 ‎- Microsoft Edge"	""
"2019/08/31 08:49"	"BROWSING"	"88"	"0"	"0.6"	"14168"	"sakura"	"editor"	"マイドキュメント\memo\English_190831.md - sakura 2.2.0.1  "	"English_190831.md"
"2019/08/31 08:50"	"BROWSING"	"108"	"0"	"0.7"	"14168"	"sakura"	"editor"	"マイドキュメント\memo\English_190831.md - sakura 2.2.0.1  "	"English_190831.md"
"2019/08/31 08:51"	"BROWSING"	"60"	"0"	"1"	"15676"	"microsoft edge"	"browser"	"How To Learn a New Programming Language Fast - Better Programming - Medium ‎- Microsoft Edge"	""
"2019/08/31 08:52"	"BROWSING"	"14"	"0"	"0.8"	"15676"	"microsoft edge"	"browser"	"How To Learn a New Programming Language Fast - Better Programming - Medium ‎- Microsoft Edge"	""
"2019/08/31 08:53"	"BROWSING"	"6"	"0"	"0.9"	"15676"	"microsoft edge"	"browser"	"How To Learn a New Programming Language Fast - Better Programming - Medium ‎- Microsoft Edge"	""
"2019/08/31 08:54"	"BROWSING"	"4"	"0"	"1"	"15676"	"microsoft edge"	"browser"	"How To Learn a New Programming Language Fast - Better Programming - Medium ‎- Microsoft Edge"	""
"2019/08/31 08:55"	"BROWSING"	"5"	"0"	"0.5"	"15676"	"microsoft edge"	"browser"	"How To Learn a New Programming Language Fast - Better Programming - Medium ‎- Microsoft Edge"	""
"2019/08/31 08:56"	"BROWSING"	"90"	"0"	"0.5"	"15676"	"microsoft edge"	"browser"	"How To Learn a New Programming Language Fast - Better Programming - Medium ‎- Microsoft Edge"	""
"2019/08/31 08:57"	"BROWSING"	"13"	"0"	"0.6"	"15676"	"facebook"	"sns"	"Facebook"	""
"2019/08/31 08:58"	"BROWSING"	"4"	"0"	"1"	"15676"	"facebook"	"sns"	"Facebook"	""
"2019/08/31 08:59"	"NO_OPERATING"	"0"	"0"	"0.7"	"15676"	"facebook"	"sns"	"Facebook"	""
"2019/08/31 09:00"	"BROWSING"	"4"	"0"	"1"	"8896"	"slack"	"chat"	"Slack | 03_雑談 | smartse-2019"	""
"2019/08/31 09:01"	"BROWSING"	"4"	"0"	"0.3"	"15676"	"microsoft edge"	"browser"	"How To Learn a New Programming Language Fast - Better Programming - Medium ‎- Microsoft Edge"	""
"2019/08/31 09:02"	"BROWSING"	"43"	"0"	"0.6"	"8660"	"journey"	"logging"	"Journey"	""
"2019/08/31 09:03"	"BROWSING"	"57"	"0"	"0.9"	"15676"	"microsoft edge"	"browser"	"How To Learn a New Programming Language Fast - Better Programming - Medium ‎- Microsoft Edge"	""
"2019/08/31 09:04"	"BROWSING"	"16"	"0"	"0.6"	"15676"	"microsoft edge"	"browser"	"How To Learn a New Programming Language Fast - Better Programming - Medium ‎- Microsoft Edge"	""
"2019/08/31 09:05"	"BROWSING"	"91"	"0"	"0.8"	"15676"	"microsoft edge"	"browser"	"How To Learn a New Programming Language Fast - Better Programming - Medium ‎- Microsoft Edge"	""
"2019/08/31 09:06"	"BROWSING"	"4"	"0"	"1"	"15676"	"microsoft edge"	"browser"	"How To Learn a New Programming Language Fast - Better Programming - Medium ‎- Microsoft Edge"	""
"2019/08/31 09:07"	"BROWSING"	"23"	"0"	"0.8"	"15676"	"microsoft edge"	"browser"	"How To Learn a New Programming Language Fast - Better Programming - Medium ‎- Microsoft Edge"	""
"2019/08/31 09:08"	"BROWSING"	"62"	"0"	"0.5"	"8660"	"journey"	"logging"	"Journey"	""
"2019/08/31 09:09"	"BROWSING"	"6"	"0"	"0.4"	"15676"	"microsoft edge"	"browser"	"How To Learn a New Programming Language Fast - Better Programming - Medium ‎- Microsoft Edge"	""
"2019/08/31 09:10"	"BROWSING"	"3"	"0"	"0.4"	"15676"	"microsoft edge"	"browser"	"GeeksforGeeks | A computer science portal for geeks ‎- Microsoft Edge"	""
"2019/08/31 09:11"	"BROWSING"	"20"	"0"	"0.4"	"15676"	"microsoft edge"	"browser"	"Practice | GeeksforGeeks | A computer science portal for geeks ‎- Microsoft Edge"	""
"2019/08/31 09:12"	"BROWSING"	"10"	"0"	"0.6"	"15676"	"microsoft edge"	"browser"	"Practice | GeeksforGeeks | A computer science portal for geeks ‎- Microsoft Edge"	""
"2019/08/31 09:13"	"BROWSING"	"4"	"0"	"0.6"	"15676"	"microsoft edge"	"browser"	"sakaimemoru GeeksforGeeks Profile ‎- Microsoft Edge"	""
"2019/08/31 09:14"	"BROWSING"	"7"	"0"	"0.6"	"15676"	"microsoft edge"	"browser"	"Python Programming Language - GeeksforGeeks ‎- Microsoft Edge"	""
"2019/08/31 09:15"	"BROWSING"	"15"	"0"	"1"	"15676"	"microsoft edge"	"browser"	"Python String - GeeksforGeeks ‎- Microsoft Edge"	""
"2019/08/31 09:16"	"BROWSING"	"9"	"0"	"0.7"	"15676"	"microsoft edge"	"browser"	"How To Learn a New Programming Language Fast - Better Programming - Medium ‎- Microsoft Edge"	""
"2019/08/31 09:17"	"NO_OPERATING"	"1"	"0"	"0.5"	"15676"	"microsoft edge"	"browser"	"Write In Private: Free Online Diary And Personal Journal | Penzu ‎- Microsoft Edge"	""
"2019/08/31 09:18"	"BROWSING"	"26"	"0"	"0.8"	"14168"	"sakura"	"editor"	"マイドキュメント\memo\English_190831.md - sakura 2.2.0.1  "	"English_190831.md"
"2019/08/31 09:19"	"BROWSING"	"150"	"0"	"1"	"14168"	"sakura"	"editor"	"マイドキュメント\memo\English_190831.md - sakura 2.2.0.1  "	"English_190831.md"
"2019/08/31 09:20"	"BROWSING"	"218"	"0"	"1"	"14168"	"sakura"	"editor"	"マイドキュメント\memo\English_190831.md - sakura 2.2.0.1  "	"English_190831.md"
"2019/08/31 09:21"	"BROWSING"	"198"	"0"	"1"	"14168"	"sakura"	"editor"	"マイドキュメント\memo\English_190831.md - sakura 2.2.0.1  "	"English_190831.md"
"2019/08/31 09:22"	"BROWSING"	"195"	"0"	"0.7"	"15676"	"microsoft edge"	"browser"	"Write In Private: Free Online Diary And Personal Journal | Penzu ‎- Microsoft Edge"	""
"2019/08/31 09:23"	"BROWSING"	"108"	"0"	"1"	"15676"	"microsoft edge"	"browser"	"Write In Private: Free Online Diary And Personal Journal | Penzu ‎- Microsoft Edge"	""
"2019/08/31 09:24"	"BROWSING"	"57"	"0"	"1"	"15676"	"microsoft edge"	"browser"	"Write In Private: Free Online Diary And Personal Journal | Penzu ‎- Microsoft Edge"	""
"2019/08/31 09:25"	"NO_OPERATING"	"1"	"0"	"0.4"	"15676"	"microsoft edge"	"browser"	"Google 翻訳 ‎- Microsoft Edge"	""
"2019/08/31 09:26"	"BROWSING"	"21"	"0"	"0.9"	"15676"	"microsoft edge"	"browser"	"Google 翻訳 ‎- Microsoft Edge"	""
"2019/08/31 09:27"	"BROWSING"	"14"	"0"	"0.5"	"14168"	"sakura"	"editor"	"マイドキュメント\memo\English_190831.md - sakura 2.2.0.1  "	"English_190831.md"
"2019/08/31 09:28"	"editor"	"31"	"5"	"1"	"14168"	"sakura"	"editor"	"マイドキュメント\memo\English_190831.md - sakura 2.2.0.1  "	"English_190831.md"
"2019/08/31 09:29"	"editor"	"125"	"96"	"1"	"14168"	"sakura"	"editor"	"マイドキュメント\memo\English_190831.md - sakura 2.2.0.1  "	"English_190831.md"
"2019/08/31 09:30"	"editor"	"174"	"136"	"0.7"	"14168"	"sakura"	"editor"	"マイドキュメント\memo\English_190831.md - sakura 2.2.0.1  "	"English_190831.md"
"2019/08/31 09:31"	"browser"	"107"	"69"	"0.9"	"15676"	"microsoft edge"	"browser"	"Write In Private: Free Online Diary And Personal Journal | Penzu ‎- Microsoft Edge"	""
"2019/08/31 09:32"	"BROWSING"	"8"	"0"	"0.5"	"15676"	"microsoft edge"	"browser"	"Google 翻訳 ‎- Microsoft Edge"	""
"2019/08/31 09:33"	"browser"	"39"	"12"	"0.5"	"15676"	"microsoft edge"	"browser"	"勉強を記録する | Studyplus（スタディプラス） ‎- Microsoft Edge"	""
"2019/08/31 09:34"	"browser"	"54"	"35"	"0.5"	"15676"	"microsoft edge"	"browser"	"memoruさんの勉強記録 | Studyplus（スタディプラス） ‎- Microsoft Edge"	""
"2019/08/31 09:35"	"BROWSING"	"6"	"0"	"0.5"	"15676"	"microsoft edge"	"browser"	"memoruさんの勉強記録 | Studyplus（スタディプラス） ‎- Microsoft Edge"	""
"2019/08/31 09:36"	"BROWSING"	"3"	"0"	"1"	"15676"	"microsoft edge"	"browser"	"memoru | Studyplus（スタディプラス） ‎- Microsoft Edge"	""
"2019/08/31 09:37"	"NO_OPERATING"	"0"	"0"	"0.7"	"15676"	"microsoft edge"	"browser"	"memoru | Studyplus（スタディプラス） ‎- Microsoft Edge"	""
"2019/08/31 09:38"	"editor"	"9"	"1"	"0.7"	"14168"	"sakura"	"editor"	"マイドキュメント\memo\English_190831.md - sakura 2.2.0.1  "	"English_190831.md"
"2019/08/31 09:39"	"logging"	"23"	"1"	"0.5"	"8660"	"journey"	"logging"	"Journey"	""
"2019/08/31 09:40"	"BROWSING"	"15"	"0"	"0.6"	"15676"	"todoist"	"logging"	"Todoist: To-Do List and Task Manager"	""
"2019/08/31 09:41"	"BROWSING"	"4"	"0"	"1"	"15676"	"todoist"	"logging"	"Todoist: To-Do List and Task Manager"	""
"2019/08/31 09:42"	"BROWSING"	"14"	"0"	"1"	"15676"	"todoist"	"logging"	"Todoist: To-Do List and Task Manager"	""
"2019/08/31 09:43"	"BROWSING"	"33"	"0"	"0.9"	"15676"	"todoist"	"logging"	"Todoist: To-Do List and Task Manager"	""
"2019/08/31 09:44"	"logging"	"33"	"18"	"1"	"15676"	"todoist"	"logging"	"Todoist: To-Do List and Task Manager"	""
"2019/08/31 09:45"	"BROWSING"	"3"	"0"	"1"	"15676"	"todoist"	"logging"	"Todoist: To-Do List and Task Manager"	""
"2019/08/31 09:46"	"BROWSING"	"4"	"0"	"1"	"15676"	"todoist"	"logging"	"Todoist: To-Do List and Task Manager"	""
"2019/08/31 09:47"	"logging"	"28"	"17"	"0.9"	"15676"	"todoist"	"logging"	"Todoist: To-Do List and Task Manager"	""
"2019/08/31 09:47"	"logging"	"39"	"9"	"0.9"	"15676"	"todoist"	"logging"	"Todoist: To-Do List and Task Manager"	""
"2019/08/31 09:48"	"BROWSING"	"19"	"0"	"0.8"	"15676"	"todoist"	"logging"	"Todoist: To-Do List and Task Manager"	""
"2019/08/31 09:49"	"BROWSING"	"3"	"0"	"0.9"	"15676"	"facebook"	"sns"	"Facebook"	""
"2019/08/31 09:50"	"BROWSING"	"2"	"0"	"1"	"15676"	"facebook"	"sns"	"Facebook"	""
"2019/08/31 09:51"	"BROWSING"	"5"	"0"	"1"	"15676"	"facebook"	"sns"	"Facebook"	""
"2019/08/31 09:52"	"NO_OPERATING"	"0"	"0"	"1"	"15676"	"facebook"	"sns"	"Facebook"	""
"2019/08/31 09:53"	"NO_OPERATING"	"0"	"0"	"1"	"15676"	"facebook"	"sns"	"Facebook"	""
"2019/08/31 09:54"	"BROWSING"	"4"	"0"	"1"	"15676"	"facebook"	"sns"	"Facebook"	""
"2019/08/31 09:55"	"BROWSING"	"3"	"0"	"0.6"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
"2019/08/31 09:56"	"NO_OPERATING"	"0"	"0"	"1"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
"2019/08/31 09:57"	"NO_WORKING"	"0"	"0"	"1"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
"2019/08/31 09:58"	"NO_WORKING"	"0"	"0"	"1"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
"2019/08/31 09:59"	"NO_WORKING"	"0"	"0"	"1"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
"2019/08/31 10:00"	"NO_WORKING"	"0"	"0"	"1"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
"2019/08/31 10:01"	"NO_WORKING"	"0"	"0"	"1"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
"2019/08/31 10:02"	"NO_WORKING"	"0"	"0"	"1"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
"2019/08/31 10:03"	"NO_WORKING"	"0"	"0"	"1"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
"2019/08/31 10:04"	"NO_WORKING"	"0"	"0"	"0.9"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
"2019/08/31 10:05"	"NO_WORKING"	"0"	"0"	"1"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
"2019/08/31 10:06"	"NO_WORKING"	"0"	"0"	"1"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
"2019/08/31 10:07"	"NO_WORKING"	"0"	"0"	"1"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
"2019/08/31 10:08"	"NO_WORKING"	"0"	"0"	"1"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
"2019/08/31 10:09"	"NO_WORKING"	"0"	"0"	"1"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
